# categoria	fonte	url	linhas_extraidas
cmdi	PAT/command_exec	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Command%20Injection/Intruder/command_exec.txt	397
cmdi	PAT/command-execution-unix	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Command%20Injection/Intruder/command-execution-unix.txt	82
cmdi	SecLists/commix	https://raw.githubusercontent.com/danielmiessler/SecLists/master/Fuzzing/command-injection-commix.txt	8262
cmdi	fuzzdb/command-execution-unix	https://raw.githubusercontent.com/fuzzdb-project/fuzzdb/master/attack/os-cmd-execution/command-execution-unix.txt	67
lfi	SecLists/LFI-Jhaddix	https://raw.githubusercontent.com/danielmiessler/SecLists/master/Fuzzing/LFI/LFI-Jhaddix.txt	929
lfi	SecLists/LFI-LFISuite	https://raw.githubusercontent.com/danielmiessler/SecLists/master/Fuzzing/LFI/LFI-LFISuite-pathtotest.txt	569
lfi	SecLists/LFI-linux-windows	https://raw.githubusercontent.com/danielmiessler/SecLists/master/Fuzzing/LFI/LFI-linux-and-windows_by-1N3%40CrowdShield.txt	1156
lfi	fuzzdb/JHADDIX_LFI	https://raw.githubusercontent.com/fuzzdb-project/fuzzdb/master/attack/lfi/JHADDIX_LFI.txt	867
nosql	PAT/NoSQL	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/NoSQL%20Injection/Intruder/NoSQL.txt	26
redirect	PAT/Open-Redirect-payloads	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Open%20Redirect/Intruder/Open-Redirect-payloads.txt	176
redirect	PAT/openredirects	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Open%20Redirect/Intruder/openredirects.txt	32
redirect	PAT/open_redirect_wordlist	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Open%20Redirect/Intruder/open_redirect_wordlist.txt	12
sqli	PAT/SQLi-Generic_Fuzz	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/SQL%20Injection/Intruder/Generic_Fuzz.txt	12
sqli	PAT/SQLi-ErrorBased	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/SQL%20Injection/Intruder/Generic_ErrorBased.txt	154
sqli	PAT/SQLi-UnionSelect	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/SQL%20Injection/Intruder/Generic_UnionSelect.txt	424
sqli	PAT/SQLi-TimeBased	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/SQL%20Injection/Intruder/Generic_TimeBased.txt	104
sqli	PAT/SQLi-Auth_Bypass	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/SQL%20Injection/Intruder/Auth_Bypass.txt	78
sqli	fuzzdb/MySQL	https://raw.githubusercontent.com/fuzzdb-project/fuzzdb/master/attack/sql-injection/detect/MySQL.txt	9
sqli	fuzzdb/MSSQL	https://raw.githubusercontent.com/fuzzdb-project/fuzzdb/master/attack/sql-injection/detect/MSSQL.txt	12
ssrf	Wordlists/ssrf	https://raw.githubusercontent.com/h0tak88r/Wordlists/master/vulns/ssrf.txt	270
ssrf	PAT/SSRF-README	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Server%20Side%20Request%20Forgery/README.md	77
ssti	PAT/ssti.fuzz	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Server%20Side%20Template%20Injection/Intruder/ssti.fuzz	104
ssti	PAT/SSTI-README	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/Server%20Side%20Template%20Injection/README.md	23
traversal	SecLists/traversal-Jhaddix	https://raw.githubusercontent.com/danielmiessler/SecLists/master/Fuzzing/LFI/LFI-Jhaddix.txt	929
traversal	fuzzdb/traversals-deep	https://raw.githubusercontent.com/fuzzdb-project/fuzzdb/master/attack/path-traversal/traversals-8-deep-exotic-encoding.txt	498
xss	PAT/XSS_Polyglots	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/XSS%20Injection/Intruders/XSS_Polyglots.txt	16
xss	PAT/RSNAKE_XSS	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/XSS%20Injection/Intruders/RSNAKE_XSS.txt	73
xss	PAT/BRUTELOGIC-XSS	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/XSS%20Injection/Intruders/BRUTELOGIC-XSS-STRINGS.txt	110
xss	PAT/JHADDIX_XSS	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/XSS%20Injection/Intruders/JHADDIX_XSS.txt	108
xss	SecLists/URI-XSS	https://raw.githubusercontent.com/danielmiessler/SecLists/master/Fuzzing/URI-XSS.fuzzdb.txt	4
xss	SecLists/XSS-RSNAKE	https://raw.githubusercontent.com/danielmiessler/SecLists/master/Fuzzing/XSS/robot-friendly/XSS-RSNAKE.txt	73
xss	fuzzdb/xss-rsnake	https://raw.githubusercontent.com/fuzzdb-project/fuzzdb/master/attack/xss/xss-rsnake.txt	76
xxe	PAT/XXE-README	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/XXE%20Injection/README.md	265
crlf	PAT/CRLF-README	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/CRLF%20Injection/README.md	36
ldap	PAT/LDAP-README	https://raw.githubusercontent.com/swisskyrepo/PayloadsAllTheThings/master/LDAP%20Injection/README.md	70
